usgs_no,year_nu,month_nu,discharge_cufs,site
1674500,1996,4,1177,mattaponi
1674500,1996,5,630.5,mattaponi
1674500,1996,6,426.7,mattaponi
1674500,1996,7,404.8,mattaponi
1674500,1996,8,387.5,mattaponi
1674500,1996,9,769,mattaponi
1674500,1996,10,863.3,mattaponi
1674500,1996,11,836.2,mattaponi
1674500,1996,12,1603,mattaponi
1674500,1997,1,843.5,mattaponi
1674500,1997,2,1105,mattaponi
1674500,1997,3,1244,mattaponi
1674500,1997,4,777.8,mattaponi
1674500,1997,5,531.3,mattaponi
1674500,1997,6,408.2,mattaponi
1674500,1997,7,266.2,mattaponi
1674500,1997,8,136.7,mattaponi
1674500,1997,9,47.8,mattaponi
1674500,1997,10,96.6,mattaponi
1674500,1997,11,607.2,mattaponi
1674500,1997,12,376.1,mattaponi
1674500,1998,1,1065,mattaponi
1674500,1998,2,3100,mattaponi
1674500,1998,3,2440,mattaponi
1674500,1998,4,1564,mattaponi
1674500,1998,5,1035,mattaponi
1674500,1998,6,435.1,mattaponi
1674500,1998,7,132.4,mattaponi
1674500,1998,8,51.9,mattaponi
1674500,1998,9,19.6,mattaponi
1674500,1998,10,33.3,mattaponi
1674500,1998,11,56.2,mattaponi
1674500,1998,12,123.3,mattaponi
1674500,1999,1,334.3,mattaponi
1674500,1999,2,276.9,mattaponi
1674500,1999,3,790.3,mattaponi
1674500,1999,4,309.5,mattaponi
1674500,1999,5,88.5,mattaponi
1674500,1999,6,22.1,mattaponi
1674500,1999,7,34.2,mattaponi
1674500,1999,8,21.2,mattaponi
1674500,1999,9,454.5,mattaponi
1674500,1999,10,276.9,mattaponi
1674500,1999,11,167.5,mattaponi
1674500,1999,12,311.7,mattaponi
1674500,2000,1,334.5,mattaponi
1674500,2000,2,548.8,mattaponi
1674500,2000,3,559.4,mattaponi
1674500,2000,4,841.9,mattaponi
1674500,2000,5,405.1,mattaponi
1674500,2000,6,262.4,mattaponi
1674500,2000,7,283.9,mattaponi
1674500,2000,8,209.4,mattaponi
1674500,2000,9,155.6,mattaponi
1674500,2000,10,62.4,mattaponi
1674500,2000,11,101.2,mattaponi
1674500,2000,12,291.5,mattaponi
1674500,2001,1,363.5,mattaponi
1674500,2001,2,351.3,mattaponi
1674500,2001,3,531.7,mattaponi
1674500,2001,4,776.4,mattaponi
1674500,2001,5,347.1,mattaponi
1674500,2001,6,366.5,mattaponi
1674500,2001,7,58.6,mattaponi
1674500,2001,8,115.8,mattaponi
1674500,2001,9,36.4,mattaponi
1674500,2001,10,19.6,mattaponi
1674500,2001,11,36.4,mattaponi
1674500,2001,12,86.3,mattaponi
1674500,2002,1,148.5,mattaponi
1674500,2002,2,104,mattaponi
1674500,2002,3,168,mattaponi
1674500,2002,4,183,mattaponi
1674500,2002,5,180.4,mattaponi
1674500,2002,6,32.1,mattaponi
1674500,2002,7,10.8,mattaponi
1674500,2002,8,3.57,mattaponi
1674500,2002,9,9.91,mattaponi
1674500,2002,10,37.1,mattaponi
1674500,2002,11,401.6,mattaponi
1674500,2002,12,571.2,mattaponi
1674500,2003,1,508.7,mattaponi
1674500,2003,2,1086,mattaponi
1674500,2003,3,1607,mattaponi
1674500,2003,4,1257,mattaponi
1674500,2003,5,991,mattaponi
1674500,2003,6,1221,mattaponi
1674500,2003,7,386.9,mattaponi
1674500,2003,8,293.8,mattaponi
1674500,2003,9,1094,mattaponi
1674500,2003,10,429.7,mattaponi
1674500,2003,11,1348,mattaponi
1674500,2003,12,1754,mattaponi
1674500,2004,1,803.1,mattaponi
1674500,2004,2,1126,mattaponi
1674500,2004,3,619,mattaponi
1674500,2004,4,959.5,mattaponi
1674500,2004,5,397.1,mattaponi
1674500,2004,6,293.7,mattaponi
1674500,2004,7,424.9,mattaponi
1674500,2004,8,845.8,mattaponi
1674500,2004,9,861.8,mattaponi
1674500,2004,10,441.1,mattaponi
1674500,2004,11,880.8,mattaponi
1674500,2004,12,837.2,mattaponi
1674500,2005,1,909.2,mattaponi
1674500,2005,2,688.9,mattaponi
1674500,2005,3,951.3,mattaponi
1674500,2005,4,1033,mattaponi
1674500,2005,5,579.4,mattaponi
1674500,2005,6,195.1,mattaponi
1674500,2005,7,221.2,mattaponi
1674500,2005,8,101.6,mattaponi
1674500,2005,9,32,mattaponi
1674500,2005,10,318.7,mattaponi
1674500,2005,11,232.6,mattaponi
1674500,2005,12,643.8,mattaponi
1674500,2006,1,785.7,mattaponi
1674500,2006,2,731.4,mattaponi
1674500,2006,3,327.4,mattaponi
1674500,2006,4,446.4,mattaponi
1674500,2006,5,367.6,mattaponi
1674500,2006,6,286,mattaponi
1674500,2006,7,435.5,mattaponi
1674500,2006,8,41,mattaponi
1674500,2006,9,572.7,mattaponi
1674500,2006,10,681.1,mattaponi
1674500,2006,11,1758,mattaponi
1674500,2006,12,751.2,mattaponi
1674500,2007,1,1386,mattaponi
1674500,2007,2,743.6,mattaponi
1674500,2007,3,1230,mattaponi
1674500,2007,4,875.7,mattaponi
1674500,2007,5,481.3,mattaponi
1674500,2007,6,170.5,mattaponi
1674500,2007,7,58.3,mattaponi
1674500,2007,8,60.8,mattaponi
1674500,2007,9,19.3,mattaponi
1674500,2007,10,87.3,mattaponi
1674500,2007,11,106.2,mattaponi
1674500,2007,12,168.8,mattaponi
1674500,2008,1,221.7,mattaponi
1674500,2008,2,405.9,mattaponi
1674500,2008,3,435.6,mattaponi
1674500,2008,4,768.3,mattaponi
1674500,2008,5,1327,mattaponi
