site,usgs_no,year_nu,month_nu,discharge_cufs
potomac,1646500,1998,6,8846
potomac,1646500,1998,7,4279
potomac,1646500,1998,8,2540
potomac,1646500,1998,9,1387
potomac,1646500,1998,10,1634
potomac,1646500,1998,11,1362
potomac,1646500,1998,12,1301
potomac,1646500,1999,1,7859
potomac,1646500,1999,2,5605
potomac,1646500,1999,3,16450
potomac,1646500,1999,4,13520
potomac,1646500,1999,5,5143
potomac,1646500,1999,6,1536
potomac,1646500,1999,7,599.1
potomac,1646500,1999,8,720.7
potomac,1646500,1999,9,5270
potomac,1646500,1999,10,7787
potomac,1646500,1999,11,3481
potomac,1646500,1999,12,8641
potomac,1646500,2000,1,4064
potomac,1646500,2000,2,13660
potomac,1646500,2000,3,17630
potomac,1646500,2000,4,16100
potomac,1646500,2000,5,6979
potomac,1646500,2000,6,7430
potomac,1646500,2000,7,3637
potomac,1646500,2000,8,5389
potomac,1646500,2000,9,5642
potomac,1646500,2000,10,3371
potomac,1646500,2000,11,2324
potomac,1646500,2000,12,5769
potomac,1646500,2001,1,5327
potomac,1646500,2001,2,10880
potomac,1646500,2001,3,17200
potomac,1646500,2001,4,20540
potomac,1646500,2001,5,7456
potomac,1646500,2001,6,9248
potomac,1646500,2001,7,3337
potomac,1646500,2001,8,5189
potomac,1646500,2001,9,2038
potomac,1646500,2001,10,1196
potomac,1646500,2001,11,1108
potomac,1646500,2001,12,1621
potomac,1646500,2002,1,1727
potomac,1646500,2002,2,1883
potomac,1646500,2002,3,6225
potomac,1646500,2002,4,12180
potomac,1646500,2002,5,14780
potomac,1646500,2002,6,3737
potomac,1646500,2002,7,1440
potomac,1646500,2002,8,1143
potomac,1646500,2002,9,1034
potomac,1646500,2002,10,4569
potomac,1646500,2002,11,15190
potomac,1646500,2002,12,17130
potomac,1646500,2003,1,20440
potomac,1646500,2003,2,17060
potomac,1646500,2003,3,46450
potomac,1646500,2003,4,28760
potomac,1646500,2003,5,33550
potomac,1646500,2003,6,41380
potomac,1646500,2003,7,10260
potomac,1646500,2003,8,7151
potomac,1646500,2003,9,32350
potomac,1646500,2003,10,11720
potomac,1646500,2003,11,23670
potomac,1646500,2003,12,33570
potomac,1646500,2004,1,11440
potomac,1646500,2004,2,24510
potomac,1646500,2004,3,20480
potomac,1646500,2004,4,31840
potomac,1646500,2004,5,15960
potomac,1646500,2004,6,11530
potomac,1646500,2004,7,4833
potomac,1646500,2004,8,4414
potomac,1646500,2004,9,20000
potomac,1646500,2004,10,10400
potomac,1646500,2004,11,11340
potomac,1646500,2004,12,19920
potomac,1646500,2005,1,18920
potomac,1646500,2005,2,9761
potomac,1646500,2005,3,24940
potomac,1646500,2005,4,24150
potomac,1646500,2005,5,10060
potomac,1646500,2005,6,4660
potomac,1646500,2005,7,7369
potomac,1646500,2005,8,2534
potomac,1646500,2005,9,1400
potomac,1646500,2005,10,4843
potomac,1646500,2005,11,4122
potomac,1646500,2005,12,13890
potomac,1646500,2006,1,19780
potomac,1646500,2006,2,14780
potomac,1646500,2006,3,5291
potomac,1646500,2006,4,10250
potomac,1646500,2006,5,7475
potomac,1646500,2006,6,10660
potomac,1646500,2006,7,7363
potomac,1646500,2006,8,1615
potomac,1646500,2006,9,5298
potomac,1646500,2006,10,6413
potomac,1646500,2006,11,19930
potomac,1646500,2006,12,8343
potomac,1646500,2007,1,12280
potomac,1646500,2007,2,7523
potomac,1646500,2007,3,32510
potomac,1646500,2007,4,23240
potomac,1646500,2007,5,6882
potomac,1646500,2007,6,3437
potomac,1646500,2007,7,1688
potomac,1646500,2007,8,2400
potomac,1646500,2007,9,1252
potomac,1646500,2007,10,1557
potomac,1646500,2007,11,2416
potomac,1646500,2007,12,7862
potomac,1646500,2008,1,7497
potomac,1646500,2008,2,13440
potomac,1646500,2008,3,20640
potomac,1646500,2008,4,20500
potomac,1646500,2008,5,33500
potomac,1646500,2008,6,8620
potomac,1646500,2008,7,3922
potomac,1646500,2008,8,1756
potomac,1646500,2008,9,3543
potomac,1646500,2008,10,2536
potomac,1646500,2008,11,2377
potomac,1646500,2008,12,12810
potomac,1646500,2009,1,9820
potomac,1646500,2009,2,6747
potomac,1646500,2009,3,4495
potomac,1646500,2009,4,17360
potomac,1646500,2009,5,27060
potomac,1646500,2009,6,15400
potomac,1646500,2009,7,3253
potomac,1646500,2009,8,3034
potomac,1646500,2009,9,1630
potomac,1646500,2009,10,3911
potomac,1646500,2009,11,6677
potomac,1646500,2009,12,23860
potomac,1646500,2010,1,26960
potomac,1646500,2010,2,15540
potomac,1646500,2010,3,45970
potomac,1646500,2010,4,13580
potomac,1646500,2010,5,9934
potomac,1646500,2010,6,4912
potomac,1646500,2010,7,1950
potomac,1646500,2010,8,1761
potomac,1646500,2010,9,1076
potomac,1646500,2010,10,4338
potomac,1646500,2010,11,3120
potomac,1646500,2010,12,8065
potomac,1646500,2011,1,2437
potomac,1646500,2011,2,9360
potomac,1646500,2011,3,34260
potomac,1646500,2011,4,43940
potomac,1646500,2011,5,33450
potomac,1646500,2011,6,7078
potomac,1646500,2011,7,3028
potomac,1646500,2011,8,2047
potomac,1646500,2011,9,14090
potomac,1646500,2011,10,11130
potomac,1646500,2011,11,16070
potomac,1646500,2011,12,23180
potomac,1646500,2012,1,16740
potomac,1646500,2012,2,9869
potomac,1646500,2012,3,18440
potomac,1646500,2012,4,7171
potomac,1646500,2012,5,9514
potomac,1646500,2012,6,6252
potomac,1646500,2012,7,2986
potomac,1646500,2012,8,3137
potomac,1646500,2012,9,4084
potomac,1646500,2012,10,10540
potomac,1646500,2012,11,10820
potomac,1646500,2012,12,7391
potomac,1646500,2013,1,16760
potomac,1646500,2013,2,19980
potomac,1646500,2013,3,19530
potomac,1646500,2013,4,14360
potomac,1646500,2013,5,19050
potomac,1646500,2013,6,10540
potomac,1646500,2013,7,6095
potomac,1646500,2013,8,3399
potomac,1646500,2013,9,2534
potomac,1646500,2013,10,5255
potomac,1646500,2013,11,3329
potomac,1646500,2013,12,18790
potomac,1646500,2014,1,14680
potomac,1646500,2014,2,26930
potomac,1646500,2014,3,18510
potomac,1646500,2014,4,18490
potomac,1646500,2014,5,34770
potomac,1646500,2014,6,13000
potomac,1646500,2014,7,4584
potomac,1646500,2014,8,3309
potomac,1646500,2014,9,2188
potomac,1646500,2014,10,3573
potomac,1646500,2014,11,3011
potomac,1646500,2014,12,9346
potomac,1646500,2015,1,7971
potomac,1646500,2015,2,6149
potomac,1646500,2015,3,23820
potomac,1646500,2015,4,18150
potomac,1646500,2015,5,8526
potomac,1646500,2015,6,10110
potomac,1646500,2015,7,8020
potomac,1646500,2015,8,2245
potomac,1646500,2015,9,1983
potomac,1646500,2015,10,7505
potomac,1646500,2015,11,5322
potomac,1646500,2015,12,11030
potomac,1646500,2016,1,13000
potomac,1646500,2016,2,39040
potomac,1646500,2016,3,13350
potomac,1646500,2016,4,6728
potomac,1646500,2016,5,19430
potomac,1646500,2016,6,10590
potomac,1646500,2016,7,4174
potomac,1646500,2016,8,3407
potomac,1646500,2016,9,1652
potomac,1646500,2016,10,4016
potomac,1646500,2016,11,1782
potomac,1646500,2016,12,4350
potomac,1646500,2017,1,14350
potomac,1646500,2017,2,8146
potomac,1646500,2017,3,9010
potomac,1646500,2017,4,15120
potomac,1646500,2017,5,26020
potomac,1646500,2017,6,7900
potomac,1646500,2017,7,5755
potomac,1646500,2017,8,6268
potomac,1646500,2017,9,2502
potomac,1646500,2017,10,2699
potomac,1646500,2017,11,6721
potomac,1646500,2017,12,2627
potomac,1646500,2018,1,5917
potomac,1646500,2018,2,19770
potomac,1646500,2018,3,12080
potomac,1646500,2018,4,23220
potomac,1646500,2018,5,33090
potomac,1646500,2018,6,38370
potomac,1646500,2018,7,14200
potomac,1646500,2018,8,21200
potomac,1646500,2018,9,45580
potomac,1646500,2018,10,17940
potomac,1646500,2018,11,39090
potomac,1646500,2018,12,40210
potomac,1646500,2019,1,30600
potomac,1646500,2019,2,31540
potomac,1646500,2019,3,30850
potomac,1646500,2019,4,22170
potomac,1646500,2019,5,26420
potomac,1646500,2019,6,7539
potomac,1646500,2019,7,8902
potomac,1646500,2019,8,3785
potomac,1646500,2019,9,2044
potomac,1646500,2019,10,2560
potomac,1646500,2019,11,4824
potomac,1646500,2019,12,6728
potomac,1646500,2020,1,12440
