SpCluster,Station,Year,dens.percomp.change,dens.weight.mean,dens.weight.mean.y1,dens.percomp,dens.percomp.y1,SAVArea.percomp.change,SAVArea,denscomp.max,SAV_HA.max
Ruppia,EE1.1,2015,0.09354085364204474,196.617029092,26.869828765500003,0.10834773537621174,0.014806881734167,0.12553950536883535,378.37041786,1814.6851746305,2735.4337352300004
Ruppia,EE1.1,2016,0.06338449359730984,311.6399299245,196.617029092,0.17173222897352158,0.10834773537621174,0.08720134902845442,616.90392975,1814.6851746305,2735.4337352300004
Ruppia,EE1.1,2017,0.03579144611280846,376.590136564,311.6399299245,0.20752367508633005,0.17173222897352158,0.015290867254908358,658.73108388,1814.6851746305,2735.4337352300004
Ruppia,EE1.1,2018,-0.02910711624745327,323.76988423349997,376.590136564,0.17841655883887678,0.20752367508633005,-0.05172503762300176,517.24067101,1814.6851746305,2735.4337352300004
Ruppia,EE1.1,2019,-0.014437224259207682,297.5708674075,323.76988423349997,0.1639793345796691,0.17841655883887678,5.040160988889764e-4,518.61937364999994,1814.6851746305,2735.4337352300004
Ruppia,EE1.1,2020,-0.09975683275990842,116.54362193,297.5708674075,0.06422250181976068,0.1639793345796691,-0.10829601537581822,222.3827998,1814.6851746305,2735.4337352300004
Ruppia,EE2.1,1984,NA,25.737904954,NA,0.007183483472148021,NA,NA,54.783886120000005,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1985,0.18518562452172407,689.244687042,25.737904954,0.1923691079938721,0.007183483472148021,0.27728414595189693,1401.2491173199999,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1986,-0.15983795567452752,116.55678052100001,689.244687042,0.0325311523193446,0.1923691079938721,-0.23308684000738308,269.40176686,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1987,1.5691118191273057e-4,117.11898200750001,116.55678052100001,0.03268806350125733,0.0325311523193446,-0.005342171056714452,243.46069633000002,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1989,0.07630555400910431,390.5162974135,117.11898200750001,0.10899361751036164,0.03268806350125733,0.11184731275138453,786.58052493,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1990,-0.09661376675467913,44.356115432,390.5162974135,0.01237985075568252,0.10899361751036164,-0.1425671430300182,94.28814542,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1991,-0.006679907908245344,20.422485528,44.356115432,0.0056999428474371755,0.01237985075568252,-0.004530926452291114,72.28640091999999,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1992,0.06729295990498627,261.5283240565,20.422485528,0.07299290275242344,0.0056999428474371755,0.15248936319946244,812.76013039,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1993,0.06771373180598837,504.1417580625,261.5283240565,0.14070663455841181,0.07299290275242344,0.1650705423327046,1614.32685965,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1994,0.09822657019239964,856.080498838,504.1417580625,0.23893320475081145,0.14070663455841181,-0.04284234965509709,1406.28851676,3582.9281230745,4855.904136090001
