simnum_OB	year	STATION	Chla.summe	Temp.summe	Temp.summin	TP.summe	TN.summe	Sal.sumy1max	dens.percomp	denscomp.max
1	2020	CB3.2	21.9118	25.2	18.7	0.05442	0.8498	6.25	0.26328117196000417	159.62227264350005
1	2021	CB3.2	12.928779152200107	23.13325860673403	15.556319831223831	0.04830895247301585	0.7919121566986872	6.3774999999999995	NA	159.62227264350005
1	2022	CB3.2	20.973816637360464	23.419372181072493	16.269372181072494	0.05057808229787321	0.9044658907120968	9.190285590490795	NA	159.62227264350005
1	2023	CB3.2	21.89175480279316	22.89217695916516	19.66319736732843	0.04370058567215014	1.0053221440423192	7.8525644784095965	NA	159.62227264350005
1	2024	CB3.2	13.685097730130297	24.221230200279425	18.33218258123181	0.04364711705763184	1.2435362627732531	7.205649903025022	NA	159.62227264350005
1	2025	CB3.2	14.933830963590264	23.997560265759788	19.879167408616933	0.04431833126624249	1.2034315015567478	4.113633132903405	NA	159.62227264350005
1	2026	CB3.2	13.676597870519355	23.72904562062863	17.07455582471026	0.04702413781178809	0.9952409674401778	11.617456439721638	NA	159.62227264350005
1	2027	CB3.2	14.11118943731256	22.488852879258985	15.322322267014089	0.06110054102099907	1.2960148533166018	12.668574847080102	NA	159.62227264350005
1	2028	CB3.2	12.818309915670312	23.055761035066386	15.6100467493521	0.05200839843689276	0.8378800510700501	10.353974702244962	NA	159.62227264350005
1	2029	CB3.2	17.3510436593341	23.507399451159724	16.51400659401687	0.04589576110488733	0.8242683434840916	9.929655151920342	NA	159.62227264350005
1	2030	CB3.2	12.452913457419816	22.902131991266295	15.410907501470383	0.05162873576767975	0.8473306447971451	11.82520127741152	NA	159.62227264350005
1	2031	CB3.2	12.615592779314976	23.577970530590747	16.01490930610095	0.04854655749429774	0.7468426763545709	10.647171707851944	NA	159.62227264350005
1	2032	CB3.2	20.875878563795062	23.87462832261628	16.747961655949616	0.0516856873191551	0.8618583151298852	9.051561323466432	NA	159.62227264350005
1	2033	CB3.2	16.277143259839896	24.41456006513109	15.67598863655966	0.04673211951496071	0.7569135187447686	7.483962885223013	NA	159.62227264350005
1	2034	CB3.2	14.38072632323166	24.095549853591557	17.762284547469108	0.04794038509411971	0.8577290566342719	11.91693416895929	NA	159.62227264350005
1	2035	CB3.2	13.136796801589302	24.56144052740617	18.79763100359665	0.04463281591437523	1.1547679296328204	6.825467495012507	NA	159.62227264350005
1	2036	CB3.2	17.03321353845052	24.391761614295095	16.60509494762843	0.04815663073823207	0.9037871837974704	7.092869910064953	NA	159.62227264350005
1	2037	CB3.2	29.52286462905317	22.66588065445624	14.039962287109296	0.05493183509290128	1.0570891162447964	5.7874126223726625	NA	159.62227264350005
1	2038	CB3.2	13.929193100608291	23.757138370542297	17.580888370542297	0.04524259539494942	0.8139486712479618	8.90324702203714	NA	159.62227264350005
1	2039	CB3.2	12.741211027945647	23.743658437023058	16.538352314574077	0.04991933538887427	0.79435729616091	12.388649437089594	NA	159.62227264350005
1	2040	CB3.2	16.859971642357696	24.1458640709126	16.566816451864984	0.05449043465150673	0.9141655821360136	7.375894488969496	NA	159.62227264350005
1	2041	CB3.2	16.894764399627043	24.3407782495837	17.77059967815513	0.04554110141613988	0.7433446099282955	8.617586031491106	NA	159.62227264350005
1	2042	CB3.2	29.47575103444734	23.206706004139697	14.332828453119282	0.05534033148109324	1.0898737638278402	4.893693346003341	NA	159.62227264350005
1	2043	CB3.2	20.02734056042407	24.80414680709687	15.56081347376354	0.05638114305364965	0.7864692589115851	8.43780492699489	NA	159.62227264350005
1	2044	CB3.2	12.932619882319408	24.07958582752284	16.562647052012633	0.05148681136890296	0.7793419437439538	11.73278730357741	NA	159.62227264350005
1	2045	CB3.2	20.48302913618718	24.71072184492944	15.74453136873896	0.05328137834362031	0.786169172366571	8.403317216447155	NA	159.62227264350005
1	2046	CB3.2	28.38079485264023	23.12067240633544	14.324549957355847	0.05107243471409579	1.0817443390371326	5.47114649633645	NA	159.62227264350005
1	2047	CB3.2	12.991094922834629	24.859224087734905	18.90850980202062	0.04643398955896111	1.1531936008389287	6.915684088868985	NA	159.62227264350005
1	2048	CB3.2	13.87012951683874	24.849532490004524	17.932032490004524	0.04893454230298598	0.7369498993281246	11.726663905563909	NA	159.62227264350005
1	2049	CB3.2	18.467534519005977	24.836404122111535	17.28140412211154	0.05227613631351756	0.9446330498263092	6.59648550579043	NA	159.62227264350005
1	2050	CB3.2	11.80403050756792	23.7964537981634	16.38522930836748	0.05372557846330474	0.7849018881905451	11.556038457648508	NA	159.62227264350005
1	2051	CB3.2	14.339139081163744	24.529340402168263	17.84719754502541	0.04661341049404441	0.8419522753720395	8.177434046334042	NA	159.62227264350005
1	2052	CB3.2	14.427709219385363	25.056153765513233	18.875745602247925	0.05018035984671282	0.8931864409944547	11.231830488315437	NA	159.62227264350005
1	2053	CB3.2	20.484853167130854	24.73801633717789	16.6823020514636	0.06163542311994951	0.8881200313162949	9.80637064073555	NA	159.62227264350005
1	2054	CB3.2	21.853181128481904	24.238069637406692	21.35725331087608	0.0483363245034301	0.9576216529347422	8.163076393491208	NA	159.62227264350005
1	2055	CB3.2	14.531254327928057	24.423204763547687	18.1774904778334	0.04684120250255717	0.8292509118058209	8.821030053810013	NA	159.62227264350005
1	2056	CB3.2	11.459280418530708	25.101464960171416	16.705214960171414	0.03997816706130796	0.9083732524164132	5.431001337546289	NA	159.62227264350005
1	2057	CB3.2	22.00721909416739	24.096605663543297	21.004973010482072	0.04814142233634527	0.9230944823008956	7.554416256241043	NA	159.62227264350005
