year,STATION,Chla.spme,Secc.spme,Sal.spme,Temp.spme,TP.spme,TN.spme,TSS.spme,dens.percomp.change,dens.weight.mean,dens.weight.mean.y1,dens.percomp,dens.percomp.y1,SAVArea.percomp.change,SAVArea,denscomp.max
1985,CB3.3C,19.5,1.4833333333333334,8.653333333333332,12.633333333333333,0.0476,0.768,7,-0.06738354986608591,3.0565349235,3.7671736159999996,0.28982403520773065,0.35720758507381656,0.19367299038662605,7.68448673,10.546174755000001
1985,CB3.3E,15.35,1.5833333333333333,8.701666666666666,12.45,0.0299,0.733,7,0.20978801493379093,4.9004628375,1.428954074,0.2961416608666261,0.08635364593283515,0.19913017605954306,8.03430825,16.547698230500004
1985,CB3.3W,13.2,1.42,9.423333333333334,12.766666666666666,0.0779,0.835,7.4,NA,NA,NA,NA,NA,NA,NA,NA
1985,CB4.1C,11.7,2.0833333333333335,10.751666666666667,12.3,0.0268,0.63,NA,-0.46587375908693507,0.3528677625,7.3790579240000005,0.023397008506438617,0.4892707675933737,-0.231971427826551,0.64157775,15.081746985000002
1985,CB4.1E,12.5875,1.8666666666666667,11.433333333333334,12.866666666666667,0.0196,0.579,NA,0.06454326728182358,29.4347954335,12.327224861500001,0.11105129515932712,0.04650802787750354,0.1383585448916806,98.72696083,265.055850013
1985,CB4.1W,14.85,1.5166666666666666,10.45,12.7,0.0391,0.695,7.3,0.45546479115113614,7.2326084395,0,0.45546479115113614,0,0.08790732905513116,11.78832871,15.879621389
1985,CB4.2E,10.9125,2.4,12.18,12.533333333333333,0.0208,0.646,6.4,0.5069615821328002,4.473554202,0,0.5069615821328002,0,0.30404078288812836,7.4227491599999995,8.824246964000002
1985,CB4.2W,11.325,2.15,12.168333333333333,12.233333333333333,0.0271,0.631,NA,0.5177542687203798,5.641692515500001,0,0.5177542687203798,0,0.5622970979190134,8.69948035,10.89646741
1985,CB4.4,17.675,2.2666666666666666,13.188333333333333,13.1,0.036,0.581,2,0.47878226524133777,6.8133261615,0,0.47878226524133777,0,0.3927871498839225,9.47675091,14.230531613500002
1985,CB5.1,15.675,2.35,13.708333333333334,13.816666666666666,0.0275,0.648,NA,0.0734010712961361,240.2752735875,2.8435185705000006,0.07428013361579176,8.790623196556563e-4,0.11217208436964006,486.90253105,3234.7178430010003
1985,CB5.1W,NA,2.3333333333333335,NA,NA,0.05416666666666667,1.0175663333333334,9.916666666666666,0.6306885489926933,7.0239524605,0,0.6306885489926933,0,0.7345592595295286,12.58991569,11.1369589185
1985,CB5.2,17.549999999999997,2.6166666666666667,14.106666666666667,12.916666666666666,0.0104,0.538,2,0.09485967461060091,35.5244740575,2.79730831,0.10296767143866109,0.008107996828060184,0.09501780958604655,63.67932731,345.006093283
1985,CB5.3,21.175,2.15,14.176666666666666,12.933333333333334,0.0158,0.485,NA,-0.37799677822267147,116.80841688500001,274.7620410905,0.2795327139463209,0.6575294921689924,-0.3423628413461694,244.64144582,417.87029230300004
1985,CB5.4W,6.41,2.0833333333333335,15.241999999999999,14.68,0.02075,NA,6.74,-0.037089820741763244,4.51124158,11.8200609505,0.022893046474829253,0.059982867216592496,-0.11035981212372262,10.88788096,197.05728483800002
1985,CB7.1,4.688,2.86,18.005,14.14,0.014,NA,6.14,-0.006273218204849863,1.6046562435,2.4695940425000003,0.011638245861018491,0.017911464065868354,-0.009816944245235769,3.4030530299999997,137.87784367700002
1985,CB7.1N,11.891666666666667,2.466666666666667,16.79,12.466666666666667,0.0182,NA,13,-0.144769499854429,244.181017301,319.5802425375,0.4688372279387678,0.6136067277931968,-0.11376360536793761,381.34923816,520.8225856434999
1985,CB7.1S,4.386666666666667,2.62,18.485,13.366666666666667,0.015166666666666667,NA,11.65,0,0,0,0,0,0,0,50.3829539875
1985,CB7.3E,3.0033333333333334,2.5,23.808333333333334,12.516666666666666,0.04166666666666667,NA,4.166666666666667,-0.017914485480638953,3.50499069,4.1426333795,0.09847224136611028,0.11638672684674924,0.10988370235568592,14.01996276,35.593692612
1985,CB8.1E,3.996666666666667,2.8333333333333335,26.661666666666665,12.016666666666667,0.04683333333333333,NA,3.5,-0.010579227302458638,19.248038601999998,19.6278609455,0.5361174216888979,0.5466966489913565,-0.013422515045802219,33.97461574,35.902654574
1985,EE1.1,11.53,1.6333333333333333,12.595,12.633333333333333,0.046,1.1715360000000001,7.333333333333333,0.07154312054546523,148.9396741295,19.267606744000002,0.08217351103511938,0.010630390489654149,0.08158900388195703,290.00661793,1812.5022559379997
1985,EE2.1,7.823333333333333,1.7666666666666666,12.33,17.533333333333335,0.05,1.3657226666666666,6.666666666666667,0.18584594847250077,689.246660411,25.7380088715,0.19305505518033214,0.00720910670783137,0.26516550377198567,1401.252549,3570.2077822680003
1985,EE3.1,4.65,1.325,15.1725,16.325,0.06,1.045372,12.25,0.0692693977806736,265.60013218349997,7.842375442000001,0.07137694492456842,0.0021075471438948197,0.08992364980054657,434.69961001,3721.091347692
