year,STATION,Chla.spme,Secc.spme,Sal.spme,Temp.spme,TP.spme,TN.spme,TSS.spme,dens.percomp.change,dens.weight.mean,dens.weight.mean.y1,dens.percomp,dens.percomp.y1,SAVArea.percomp.change
1985,CB5.4W,6.41,2.0833333333333335,15.241999999999999,14.68,0.02075,NA,6.74,0.04003686675407098,4.9883338010000005,1.2411722075,0.053298276770850826,0.013261410016779846,0.025732303362717517
1985,CB6.3,8.511666666666667,1.9666666666666666,17.975,13.383333333333333,0.02266666666666667,NA,13,-0.014801634969721866,50.60761470050001,52.405693599,0.4165976476950096,0.4313992826647315,0.02432601719905869
1985,CB7.1,4.688,2.86,18.005,14.14,0.014,NA,6.14,-0.07468774704418502,257.3744689915,322.4859569185,0.2952277677515252,0.3699155147957102,-2.8017441529970544e-4
1985,CB7.1N,11.891666666666667,2.466666666666667,16.79,12.466666666666667,0.0182,NA,13,-0.11882673998740606,354.05354263799995,440.96310329849996,0.4840782525297784,0.6029049925171844,0.006995950990831834
1985,CB7.1S,4.386666666666667,2.62,18.485,13.366666666666667,0.015166666666666667,NA,11.65,-0.031370124952836254,118.69057128700001,133.1854774055,0.2568721743733531,0.28824229932618933,-0.05397540273650814
1985,CB7.2E,6.9783333333333335,1.9833333333333334,20.636666666666667,13.266666666666666,0.018833333333333334,NA,17.816666666666666,-0.019270071079680928,104.3611226325,110.42069891300001,0.3318790222272151,0.35114909330689603,0.0020266432509608023
1985,CB7.3E,3.0033333333333334,2.5,23.808333333333334,12.516666666666666,0.04166666666666667,NA,4.166666666666667,-0.08110031243949825,99.7040995615,132.5591282225,0.24611251170615725,0.3272128241456555,-0.01408611536839649
1985,CB8.1,7.8533333333333335,1.8166666666666667,22.971666666666668,13.466666666666667,0.04683333333333333,NA,3.05,0,0,0,0,0,0
1985,CB8.1E,3.996666666666667,2.8333333333333335,26.661666666666665,12.016666666666667,0.04683333333333333,NA,3.5,0,0,0,0,0,0
1985,EE3.4,10.695,1.4333333333333333,17.48,14.516666666666667,0.0254,NA,16.8,0.11958759013202264,97.223653516,38.6268822745,0.19841950642452427,0.07883191629250164,0.10919704661355191
1985,EE3.5,11.011666666666667,1.6166666666666667,17.361666666666668,13.966666666666667,0.020833333333333332,NA,13.55,-0.03711437912796206,497.97641629900005,570.44636867,0.2550310150155538,0.29214539414351587,0.02410257120895737
1985,LE3.6,8.701666666666666,1.6333333333333333,16.294,13.35,0.03383333333333333,NA,7.85,0,0,0,0,0,0
1985,LE3.7,7.37,1.9000000000000001,17.195999999999998,13.716666666666667,0.018166666666666668,NA,11.416666666666666,0.00629592157442856,6.5449222990000004,4.819087451500001,0.02387616495571583,0.01758024338128727,0.003132448981983534
1985,LE4.2,NA,0.92,18.422,13.22,0.04,NA,NA,0,0,0,0,0,0
1985,LE4.3,NA,2.04,20.776,12.78,0.036,NA,12.166666666666666,0.05881343667180844,101.2787717755,81.5054405175,0.3012417357650334,0.24242829909322494,0.009704052696205862
1985,LE5.3,NA,0.8666666666666667,16.083333333333332,14.75,0.065,NA,18.333333333333332,0,0,0,0,0,0
1985,LE5.4,NA,1.25,20.693333333333335,14.233333333333334,0.04166666666666667,NA,NA,0,0,0,0,0,0
1985,WE4.1,6.843333333333334,2.0833333333333335,20.56,14.316666666666666,0.017666666666666667,NA,10.266666666666667,-0.008287099786107643,704.2655091865,721.5949795055,0.3367857437710327,0.34507284355714035,-6.664709837121974e-4
1985,WE4.2,3.6766666666666667,2.16,20.642,15.116666666666667,0.017666666666666667,NA,15.033333333333333,0.061330730131940514,255.28456204799997,220.5876777275,0.4512447987315681,0.3899140685996276,0.0693561059854505
1985,WE4.3,3.8933333333333335,2.166666666666667,21.184,15.3,0.019,NA,15.733333333333334,0.034395379387066605,284.8748035365,255.104783734,0.3291357214559572,0.2947403420688906,0.04866520147729536
1985,WE4.4,3.02,1.5166666666666666,20.634999999999998,15.35,0.0245,NA,11.666666666666666,0.10928232132757282,418.151287639,336.6340702555,0.5605753587530211,0.4512930374254483,0.06002237094390489
1986,CB5.4W,6.433333333333334,2.1333333333333333,13.778333333333334,13.266666666666666,0.01425,NA,4.583333333333333,-0.0026650971213803207,4.738899957,4.9883338010000005,0.050633179649470506,0.053298276770850826,-0.002842871569552999
1986,CB6.3,7.901666666666666,2.1333333333333333,16.435,11.783333333333333,0.013916666666666666,NA,5.666666666666667,-0.009388555337442261,49.467108042,50.60761470050001,0.40720909235756736,0.4165976476950096,-0.012440580186962924
1986,CB7.1,5.9383333333333335,2.4833333333333334,17.34166666666667,11.55,0.013583333333333333,NA,7.583333333333333,0.03600311896895653,288.761366292,257.3744689915,0.33123088672048173,0.2952277677515252,0.02742049067078456
1986,CB7.1N,9.97,2.1333333333333333,16.845,11.700000000000001,0.020999999999999998,NA,6.333333333333333,0.17767012799839438,484.001000327,354.05354263799995,0.6617483805281728,0.4840782525297784,0.03619161118904235
1986,CB7.1S,9.315,2.783333333333333,17.128333333333334,11.3,0.017083333333333332,NA,4.75,-0.013591040284509692,112.4106838695,118.69057128700001,0.2432811340888434,0.2568721743733531,0.09209659550287641
1986,CB7.2E,8.743333333333332,2.433333333333333,20.05,11.55,0.017333333333333333,NA,6.75,0.04536765550346805,118.627223056,104.3611226325,0.37724667773068316,0.3318790222272151,0.018158582076956975
1986,CB7.3E,5.843333333333334,2.38,22.143333333333334,11.466666666666667,0.029833333333333333,NA,5.75,0.01976546971278967,107.711406246,99.7040995615,0.2658779814189469,0.24611251170615725,-0.06827455437463892
